position	post_id	post_by	post_text	post_published	comment_id	comment_by	is_reply	comment_message	comment_published	comment_like_count	attachment_type	attachment_url
117_61	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161491042810475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"tanto brasileiro a dizer que não o quer em Portugal, tanto quanto sei todos vós podem ser criminosos, pedófilos, homossexuais e por ai, e o meu país recebeu vos…. portanto calem a boca que quem manda aqui é o SEF e a República portuguesa..."	2019-01-25T10:53:04+0000	0		
117_62	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161492723760475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Miguel Gonçalves vc fala isso porque não conhece, idiota!!! Mas logo ele vai estar junto dos seus pares!!!"	2019-01-25T20:42:39+0000	0		
117_63	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489739115475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Não vindo pra Portugal ... tá ótimo!"	2019-01-25T00:33:01+0000	29		
117_64	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161490924725475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"é muito triste a situação dos brasileiros.. Mais triste ainda é estes comentários homofóbicos, tanto ódio só revela uma coisa.."	2019-01-25T10:04:08+0000	9		
117_65	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489740725475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Duvido ele ir embora, surgiu um boato de que ele tá envolvido em desvio do  verbas por isso a fuga, e nos brasileiros vamos para onde?  Todos os dias somos ameaçados de morte ao sair de casa."	2019-01-25T00:34:01+0000	10		
117_66	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489714605475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"O que tu queres é um arco-íris senegalês por essas nalgas acima"	2019-01-25T00:21:38+0000	12		
117_67	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489737310475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Mártir? Ninguém gosta dele no Brasil ahahha"	2019-01-25T00:32:29+0000	25		
117_68	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489958465475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"Victor Santos e tu? Angariando muitos dízimos dos trouxas, crente de Taubaté?"	2019-01-25T01:59:27+0000	0		
117_69	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489740405475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Boa viagem! Ontem já foi tarde... Que boa notícia correio da manhã 😀👍🎉🎉"	2019-01-25T00:33:50+0000	3		
117_70	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489830520475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Já vai tarde, aqui ninguém vai sentir falta. E que não volte nunca mais. Espero que vá mesmo."	2019-01-25T01:10:56+0000	4		
117_71	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161489734610475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"É mentira dele. Está é com medo da Polícia Federal"	2019-01-25T00:31:11+0000	19		
117_72	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161490434740475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Não venhas para terras lusas, que já cá temos muita gente da tua laia."	2019-01-25T05:26:37+0000	5		
117_73	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161490727950475	da39a3ee5e6b4b0d3255bfef95601890afd80709	0	"Possivelmente ameaçado por machões que pedem á mulher para lhe meter o dedo no rabo... As pessoas preocuoam-se demasiado em deitar a baixo os outros em vez de crescerem sozinhas"	2019-01-25T08:10:59+0000	3		
117_74	469974510474_10161489696565475	c992ae2630a5223d06b076adb833689225214a4e	" Eu não quero ser mártir. Eu quero viver   afirmou Jean Wyllys em entrevista"	2019-01-25T00:15:58+0000	10161489696565475_10161490323140475	da39a3ee5e6b4b0d3255bfef95601890afd80709	1	"André Alves  vai pra Cuba ou Venezuela!"	2019-01-25T04:32:47+0000	0		
